concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 9";"Moto";1963,00;0,50;981,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 1";"Passeio";119390,00;1,00;119390,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 3";"Passeio";830,00;1,50;1245,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 5";"Passeio";104,00;2,00;208,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 2";"Comercial";15150,00;2,00;30300,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 4";"Comercial";37961,00;3,00;113883,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 6";"Comercial";11731,00;4,00;46924,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 7";"Comercial";24327,00;5,00;121635,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 8";"Comercial";24041,00;6,00;144246,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Outros";"Comercial";6836,00;6,00;41016,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 9";"Moto";2736,00;0,50;1368,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 1";"Passeio";155322,00;1,00;155322,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 3";"Passeio";887,00;1,50;1330,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 5";"Passeio";88,00;2,00;176,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 2";"Comercial";15970,00;2,00;31940,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 4";"Comercial";39933,00;3,00;119799,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 6";"Comercial";11550,00;4,00;46200,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 7";"Comercial";25372,00;5,00;126860,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 8";"Comercial";25483,00;6,00;152898,00
